CABANG,PROPINSI,NO ORDER,TANGGAL,SUMBER,SERIES,HARGA JUAL,DISKON,JENIS BAYAR
FKH PREMBUN,JAWATENGAH,BTDPMB212204002,2022-05-27,OFFLINE,VARIO 160,30030000,0,KREDIT
FKH BUTUH,JAWATENGAH,BTDBTU220500001,2022-05-27,OFFLINE,VARIO 160,27320000,0,KREDIT
FKH MIJEN,JAWATENGAH,BTDMJE220500019,2022-05-30,OFFLINE,VARIO 160,26800000,0,KREDIT
FKH PREMBUN,JAWATENGAH,BTDPMB220500025,2022-05-27,OFFLINE,BEAT,19585000,0,KREDIT
FKH KALASAN,DAERAHISTIMEWAYOGYAK,BTDKLS220500017,2022-05-28,OFFLINE,BEAT,18885000,0,KREDIT
FKHC TANON,JAWATENGAH,BTDTNO220500009,2022-05-27,OFFLINE,BEAT,18870000,0,KREDIT
FKH KARANGPUCUNG,JAWATENGAH,BTDKRP220500025,2022-05-30,OFFLINE,VARIO 125,23880000,0,KREDIT
FKH FKH A YANI,JAWATENGAH,BTDAYN220500008,2022-05-28,OFFLINE,VARIO 125,24040000,0,KREDIT
FKH SEMARANG,JAWATENGAH,BTDSMG220500330,2022-05-28,OFFLINE,VARIO 160,29850000,260000,KREDIT
FKH MAGELANG,JAWATENGAH,BTDMGL220500050,2022-05-28,ONLINE,VARIO 160,27320000,0,KREDIT
FKH PAGUYANGAN,JAWATENGAH,BTDPGY220500011,2022-05-27,OFFLINE,CB150R,31150000,0,KREDIT
FKH SOLO,JAWATENGAH,BTDSLO220500111,2022-05-27,OFFLINE,BEAT,18870000,0,KREDIT
FKH DEMAK,JAWATENGAH,BTDDMK220500011,2022-05-30,OFFLINE,BEAT,18870000,0,KREDIT
FKH DEMAK,JAWATENGAH,BTDDMK220500081,2022-05-29,OFFLINE,PCX160,32110000,0,KREDIT
FKH BAKI,JAWATENGAH,BTDBAK220500035,2022-05-30,OFFLINE,VARIO 125,23860000,0,KREDIT
FKH KEBUMEN,JAWATENGAH,BTDKBM220500067,2022-05-27,OFFLINE,VARIO 125,23880000,0,KREDIT
FKH SALATIGA,JAWATENGAH,BTDSLG220500053,2022-05-30,OFFLINE,VARIO 125,24000000,0,KREDIT
